Sex,Equipment,AgeCat,WtCat,Place,BestSquat,BestBench,BestDeadlift
F,C,J,63,7,85.0 [8],50.0 [5],127.5 [5]
F,C,J,63,8,87.5 [7],50.0 [7],120.0 [8]
F,C,J,69,1,162.5 [1],87.5 [1],180.0 [1]
F,C,J,69,2,130.0 [3],65.0 [3],150.0 [2]
F,C,J,69,3,132.5 [2],72.5 [2],135.0 [7]
F,C,J,69,4,117.5 [5],65.0 [4],147.5 [3]
F,C,J,69,5,117.5 [4],55.0 [8],130.0 [8]
F,C,J,69,6,95.0 [7],50.0 [9],145.0 [4]
F,C,J,69,7,90.0 [10],57.5 [6],142.5 [6]
F,C,J,69,8,95.0 [8],62.5 [5],120.0 [9]
F,C,J,69,9,95.0 [9],57.5 [7],115.0 [10]
F,C,J,76,1,132.5 [4],72.5 [1],157.5 [1]
F,C,J,76,2,150.0 [1],67.5 [5],145.0 [3]
F,C,J,76,3,140.0 [3],70.0 [3],140.0 [5]
F,C,J,76,4,140.0 [2],70.0 [2],130.0 [7]
F,C,J,76,5,115.0 [5],70.0 [4],152.5 [2]
F,C,J,76,6,112.5 [6],50.0 [10],142.5 [4]
F,C,J,76,7,107.5 [7],60.0 [6],127.5 [10]
F,C,J,76,8,90.0 [9],55.0 [7],130.0 [8]
F,C,J,76,9,95.0 [8],50.0 [8],127.5 [9]
M,E,SJ,53,1,170.0 [3],110.0 [1],187.5 [1]
M,E,SJ,53,2,180.0 [1],105.0 [2],180.0 [2]
M,E,SJ,53,3,170.0 [2],87.5 [6],170.0 [4]
M,E,SJ,53,4,155.0 [4],97.5 [3],175.0 [3]
M,E,SJ,53,5,140.0 [6],90.0 [4],160.0 [5]
M,E,SJ,53,6,120.0 [8],87.5 [7],147.5 [6]
M,E,SJ,53,7,125.0 [7],75.0 [8],130.0 [8]
M,E,SJ,53,8,107.5 [10],50.0 [9],130.0 [9]
M,E,SJ,53,9,65.0 [12],27.5 [10],80.0 [10]
M,E,SJ,59,1,190.0 [1],102.5 [3],200.0 [2]
M,E,SJ,59,2,170.0 [2],77.5 [12],195.0 [3]
M,E,SJ,59,3,165.0 [3],82.5 [9],192.5 [4]
M,E,SJ,59,4,140.0 [5],95.0 [6],177.5 [5]
M,E,SJ,59,5,125.0 [6],80.0 [10],160.0 [8]
M,E,SJ,59,6,115.0 [8],90.0 [7],152.5 [9]
M,E,SJ,59,7,120.0 [7],60.0 [13],130.0 [11]
M,E,SJ,66,1,190.0 [4],135.0 [1],205.0 [5]
M,E,SJ,66,2,200.0 [3],112.5 [3],210.0 [3]
M,E,SJ,66,3,190.0 [5],115.0 [2],212.5 [2]
M,E,SJ,66,4,210.0 [1],90.0 [6],210.0 [4]
M,E,SJ,66,5,185.0 [6],95.0 [5],200.0 [6]
M,E,SJ,66,6,207.5 [2],85.0 [7],180.0 [9]
M,E,SJ,66,7,155.0 [8],100.0 [4],212.5 [1]
M,E,SJ,66,8,150.0 [9],82.5 [8],185.0 [8]
M,E,SJ,66,9,157.5 [7],72.5 [10],185.0 [7]
M,E,SJ,66,10,140.0 [10],70.0 [11],150.0 [11]
M,E,SJ,66,11,120.0 [11],67.5 [13],145.0 [12]
M,E,SJ,66,12,90.0 [12],70.0 [12],120.0 [13]
M,E,SJ,74,1,210.0 [6],157.5 [1],222.5 [3]
M,E,SJ,74,2,207.5 [7],137.5 [2],227.5 [1]
M,E,SJ,74,3,225.0 [1],130.0 [5],210.0 [5]
M,E,SJ,74,4,215.0 [3],102.5 [7],222.5 [2]
M,E,SJ,74,5,215.0 [4],110.0 [6],200.0 [8]
M,E,SJ,74,6,205.0 [8],135.0 [3],185.0 [9]
M,E,SJ,74,7,212.5 [5],102.5 [8],205.0 [7]
M,E,SJ,74,8,200.0 [9],100.0 [9],210.0 [4]
M,E,SJ,74,9,185.0 [10],80.0 [13],170.0 [11]
M,E,SJ,74,10,170.0 [11],80.0 [14],175.0 [10]
M,E,SJ,74,11,150.0 [12],90.0 [11],162.5 [12]
M,E,SJ,74,12,90.0 [14],52.5 [15],115.0 [13]
M,E,SJ,83,1,222.5 [4],160.0 [1],235.0 [2]
M,E,SJ,83,2,210.0 [8],140.0 [3],247.5 [1]
M,E,SJ,83,3,215.0 [7],155.0 [2],222.5 [5]
M,E,SJ,83,4,235.0 [2],140.0 [4],215.0 [6]
M,E,SJ,83,5,237.5 [1],110.0 [10],227.5 [3]
M,E,SJ,83,6,227.5 [3],112.5 [7],225.0 [4]
M,E,SJ,83,7,222.5 [5],125.0 [5],210.0 [9]
M,E,SJ,83,8,220.0 [6],112.5 [8],210.0 [8]
M,E,SJ,83,9,205.0 [9],125.0 [6],212.5 [7]
M,E,SJ,83,10,95.0 [11],55.0 [11],125.0 [11]
M,E,SJ,93,1,260.0 [1],140.0 [2],271.0 [1]
M,E,SJ,93,2,235.0 [4],137.5 [3],237.5 [2]
M,E,SJ,93,3,247.5 [3],122.5 [8],230.0 [4]
M,E,SJ,93,4,230.0 [5],155.0 [1],215.0 [5]
M,E,SJ,93,5,250.0 [2],137.5 [4],190.0 [7]
M,E,SJ,93,6,222.5 [7],122.5 [7],232.5 [3]
M,E,SJ,93,7,230.0 [6],137.5 [5],200.0 [6]
M,E,SJ,93,8,180.0 [9],125.0 [6],185.0 [8]
M,E,SJ,93,9,150.0 [10],75.0 [11],165.0 [10]
M,E,SJ,105,1,260.0 [1],135.0 [2],210.0 [5]
M,E,SJ,105,2,245.0 [2],140.0 [1],220.0 [2]
M,E,SJ,105,3,230.0 [4],120.0 [3],215.0 [4]
M,E,SJ,105,4,230.0 [3],90.0 [7],222.5 [1]
M,E,SJ,105,5,160.0 [8],112.5 [4],160.0 [7]
M,E,SJ,105,6,135.0 [9],105.0 [6],175.0 [6]
M,E,SJ,105,7,115.0 [10],70.0 [9],150.0 [8]
M,E,SJ,120,1,230.0 [1],127.5 [3],210.0 [4]
M,E,SJ,120,2,230.0 [2],115.0 [5],220.0 [1]
M,E,SJ,120,3,220.0 [3],127.5 [2],212.5 [3]
M,E,SJ,120,4,215.0 [4],92.5 [6],180.0 [5]
M,E,SJ,120,5,170.0 [5],117.5 [4],172.5 [6]
